,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state
0,0,320569.0541072836,2021-04-28 19:58:39.818681,2021-04-28 19:58:40.830377,0 days 00:00:01.011696,0.42887268694851177,7,0.9454194260110955,3.8969578461817034e-05,1.381658346180181,20,218,COMPLETE
1,1,310367.4540015657,2021-04-28 19:58:40.830806,2021-04-28 19:58:41.752433,0 days 00:00:00.921627,0.477128206795655,7,0.5647992297396337,0.08763779876974895,3.7984616469128425e-05,89,251,COMPLETE
2,2,274636.82326135575,2021-04-28 19:58:41.752794,2021-04-28 19:58:42.140293,0 days 00:00:00.387499,0.8244376554306373,3,0.6912677232440994,0.001284449239190617,1.739669905714746e-07,14,27,COMPLETE
3,3,308250.9278809286,2021-04-28 19:58:42.140658,2021-04-28 19:58:42.999702,0 days 00:00:00.859044,0.7324912120699218,7,0.5347845996159694,0.5029270718400162,0.9213799339471893,86,133,COMPLETE
4,4,301131.3453305236,2021-04-28 19:58:43.000063,2021-04-28 19:58:43.849151,0 days 00:00:00.849088,0.7579604291761773,5,0.44033909807364385,1.6274393459997026e-05,0.00010008923595148795,42,170,COMPLETE
5,5,334553.4411424905,2021-04-28 19:58:43.849540,2021-04-28 19:58:44.391905,0 days 00:00:00.542365,0.5550597647085538,6,0.427106148516878,3.177112522169543e-05,2.544937909205669e-07,90,64,COMPLETE
6,6,303783.602272229,2021-04-28 19:58:44.392257,2021-04-28 19:58:45.084891,0 days 00:00:00.692634,0.6087230095900951,4,0.583971985608908,2.2367660871917436e-07,1.6091418177229182,33,123,COMPLETE
7,7,279205.3231565119,2021-04-28 19:58:45.085242,2021-04-28 19:58:45.635530,0 days 00:00:00.550288,0.8704228866860162,5,0.65901349443164,3.3658729986980497e-07,4.507323808071437,46,62,COMPLETE
8,8,294962.2118805687,2021-04-28 19:58:45.635894,2021-04-28 19:58:46.576812,0 days 00:00:00.940918,0.5185736015259421,6,0.5984063221749882,2.5690348402876973e-06,0.03921020911720943,26,243,COMPLETE
9,9,311883.37837444723,2021-04-28 19:58:46.577171,2021-04-28 19:58:47.124920,0 days 00:00:00.547749,0.43986336936652226,3,0.47652649860577684,3.9614616978842e-07,1.3175534354358222e-08,70,72,COMPLETE
